X,Y,Z,Speed_kmh
1960.8289,-2013.0076,13.3747,79.4
1960.8420,-2026.2142,13.3738,78.2
1960.8481,-2039.4564,13.3741,76.6
1960.2379,-2052.0308,13.3741,74.8
1960.3639,-2064.6135,13.3739,75.0
1960.4996,-2077.1099,13.3731,70.9
1960.7416,-2088.2300,13.3724,61.8
1963.2172,-2097.9814,13.3743,61.3
1969.3004,-2105.9775,13.3726,57.2
1977.6089,-2109.9028,13.3577,55.8
1987.5942,-2110.6943,13.3582,62.5
1998.8083,-2110.1523,13.3765,70.9
2011.1200,-2110.1050,13.3977,75.7
2023.7006,-2110.2412,13.3782,74.6
2036.6219,-2110.3677,13.3636,79.3
2049.9736,-2110.4766,13.3698,77.0
2062.2178,-2110.6223,13.3571,69.3
2073.9670,-2110.7434,13.3569,69.0
2084.9053,-2110.8379,13.3399,61.6
2094.8857,-2108.9033,13.3144,58.7
2103.8469,-2104.3613,13.3754,63.9
2112.8589,-2097.8301,13.5374,65.5
2120.0920,-2090.0774,13.5378,61.7
X,Y,Z,Speed_kmh
2090.9988,-2090.2947,13.5311,0.0
2097.9099,-2085.0122,13.5361,23.9
2105.7102,-2090.4844,13.5351,31.9
2107.1233,-2099.9392,13.5381,41.7
2101.4636,-2108.6270,13.2935,39.5
2090.8203,-2109.4180,13.3307,49.1
2081.8359,-2109.3948,13.3532,57.6
2072.2041,-2109.3474,13.3713,55.6
2062.1375,-2109.2986,13.3763,64.1
2050.6665,-2109.3721,13.3626,71.9
2037.9209,-2109.6252,13.3685,76.6
2024.3746,-2109.4744,13.3874,81.2
2010.9930,-2109.3040,13.4000,78.6
1997.0033,-2109.1252,13.3710,81.2
1983.9417,-2108.9353,13.3517,73.4
1972.5226,-2110.8611,13.3641,62.9
1964.2997,-2117.1873,13.3730,58.4
1958.3938,-2125.5007,13.3754,64.3
1952.9714,-2135.0083,13.5307,66.3
1946.5073,-2144.9004,13.5484,69.8
1937.8508,-2153.0344,13.5430,72.2
1927.2142,-2158.9626,13.5375,72.4
1914.5846,-2162.8533,13.4265,76.7
1901.6769,-2165.3257,13.3745,80.0
1887.7190,-2166.1082,13.3747,84.4
1873.0913,-2166.2195,13.3749,86.7
1858.0625,-2166.3428,13.3750,90.4
1842.5575,-2166.4663,13.3743,90.8
1826.9985,-2166.5898,13.3748,93.9
1811.2660,-2166.3706,13.3737,93.3
1795.6876,-2165.8057,13.3730,90.7
1780.0421,-2165.4209,13.3747,93.7
1764.3740,-2165.5635,13.3739,93.2
1748.3564,-2165.6421,13.3748,96.2
1740.1577,-2165.6162,13.4392,94.2
