duong_di_1 = [[
-1674.9557,0.8745,3.5468,132.6225,4860.90,VEHICLE,0,0
-1676.8868,-0.7665,3.5504,130.8746,4869.24,VEHICLE,0,0
-1678.8771,-2.3395,3.5460,128.9061,4892.45,VEHICLE,0,0
-1680.8862,-3.8950,3.5458,128.0815,4915.98,VEHICLE,0,0
-1682.8965,-5.4391,3.5461,127.7822,4938.23,VEHICLE,0,0
-1684.9183,-6.9880,3.5463,127.6723,4960.24,VEHICLE,0,0
-1686.9966,-8.5497,3.5553,127.2281,4977.60,VEHICLE,0,0
-1689.1010,-10.0313,3.5571,125.6620,4987.75,VEHICLE,0,0
-1691.2469,-11.4552,3.5533,124.0119,5010.89,VEHICLE,0,0
-1693.4380,-12.8880,3.5484,123.3310,5033.43,VEHICLE,0,0
-1695.6477,-14.3244,3.5464,123.0809,5055.27,VEHICLE,0,0
-1697.8333,-15.7411,3.5461,122.9895,5076.58,VEHICLE,0,0
-1700.0585,-17.1813,3.5463,122.9554,5098.04,VEHICLE,0,0
-1702.2784,-18.6174,3.5464,122.9436,5119.24,VEHICLE,0,0
-1704.4838,-20.0435,3.5463,122.9396,5002.08,VEHICLE,0,0
-1706.6313,-21.4329,3.5454,122.9388,4885.66,VEHICLE,0,0
-1708.7262,-22.7893,3.5444,122.9389,4769.93,VEHICLE,0,0
-1710.7616,-24.1077,3.5436,122.9389,4654.91,VEHICLE,0,0
-1712.7681,-25.3928,3.5434,122.6979,4637.22,VEHICLE,0,0
-1714.8591,-26.6314,3.5439,121.0429,4646.39,VEHICLE,0,0
-1716.9656,-27.8002,3.5449,119.4157,4672.73,VEHICLE,0,0
-1719.0859,-28.9575,3.5456,118.7841,4696.86,VEHICLE,0,0
-1721.2241,-30.1152,3.5460,118.5516,4720.33,VEHICLE,0,0
-1723.3887,-31.2816,3.5485,118.4675,4743.76,VEHICLE,0,0
-1725.5355,-32.4589,3.5496,118.8222,4708.06,VEHICLE,0,0
-1727.6100,-33.6958,3.5512,120.5059,4616.89,VEHICLE,0,0
-1729.5726,-35.0016,3.5526,123.0284,4520.67,VEHICLE,0,0
-1731.4130,-36.3844,3.5513,126.0734,4424.04,VEHICLE,0,0
-1733.1282,-37.8538,3.5477,129.4917,4335.31,VEHICLE,0,0
-1734.7046,-39.4039,3.5436,133.1979,4253.21,VEHICLE,0,0
-1736.1399,-41.0351,3.5420,137.1799,4159.68,VEHICLE,0,0
-1737.4139,-42.7313,3.5417,141.3986,4064.71,VEHICLE,0,0
-1738.5165,-44.4780,3.5417,145.7778,3971.21,VEHICLE,0,0
-1739.4550,-46.2801,3.5417,150.3217,3908.31,VEHICLE,0,0
-1740.2369,-48.1419,3.5419,154.9148,3901.97,VEHICLE,0,0
-1740.8630,-50.0503,3.5424,159.5040,3898.34,VEHICLE,0,0
-1741.3346,-52.0031,3.5429,164.0857,3896.01,VEHICLE,0,0
-1741.6504,-53.9901,3.5433,168.6578,3894.11,VEHICLE,0,0
-1741.8079,-55.9961,3.5434,173.2145,3892.27,VEHICLE,0,0
-1741.8068,-57.9968,3.5435,177.7324,3892.96,VEHICLE,0,0
-1741.6724,-60.0121,3.5436,181.8282,3930.24,VEHICLE,0,0
